method,ctx_len,depth,correct_frac,mean_logprob_per_token
attn_block64_topk8_residual_gather_shared,2048,0.1,0.0,-3.27901554107666
attn_block64_topk8_residual_gather_shared,2048,0.5,0.0,-5.58852970123291
attn_block64_topk8_residual_gather_shared,2048,0.9,0.0,-4.730293502807617
attn_block64_topk8_residual_gather_shared,4096,0.1,0.0,-9.86959457397461
attn_block64_topk8_residual_gather_shared,4096,0.5,0.0,-8.322784729003907
attn_block64_topk8_residual_gather_shared,4096,0.9,0.0,-8.444732971191407
attn_bound_mp2_topk6,2048,0.1,0.0,-3.2722285461425784
attn_bound_mp2_topk6,2048,0.3,0.0,-3.579704208374024
attn_bound_mp2_topk6,2048,0.5,0.0,-2.9178428268432617
attn_bound_mp2_topk6,2048,0.7,0.0,-3.999326782226562
attn_bound_mp2_topk6,2048,0.9,0.0,-2.8272729873657227
attn_bound_mp2_topk6,4096,0.1,0.0,-3.394390678405762
attn_bound_mp2_topk6,4096,0.3,0.0,-3.2767539215087895
attn_bound_mp2_topk6,4096,0.5,0.0,-4.370273742675781
attn_bound_mp2_topk6,4096,0.7,0.0,-3.415608215332031
attn_bound_mp2_topk6,4096,0.9,0.0,-3.6813176727294925
attn_bound_mp4_topk6,2048,0.1,0.2,-1.1784462887048721
attn_bound_mp4_topk6,2048,0.3,0.0,-3.5365597534179685
attn_bound_mp4_topk6,2048,0.5,0.0,-3.589140090942383
attn_bound_mp4_topk6,2048,0.7,0.0,-3.898371276855469
attn_bound_mp4_topk6,2048,0.9,0.0,-1.8347199249267578
attn_bound_mp4_topk6,4096,0.1,0.0,-3.773088836669922
attn_bound_mp4_topk6,4096,0.3,0.0,-3.7145694732666015
attn_bound_mp4_topk6,4096,0.5,0.0,-4.230459365844727
attn_bound_mp4_topk6,4096,0.7,0.0,-3.984592895507812
attn_bound_mp4_topk6,4096,0.9,0.0,-3.8559270477294922
attn_bound_mp8_topk6,2048,0.1,0.0,-3.263861618041992
attn_bound_mp8_topk6,2048,0.3,0.0,-2.7003614044189455
attn_bound_mp8_topk6,2048,0.5,0.0,-2.5510196685791016
attn_bound_mp8_topk6,2048,0.7,0.0,-4.073680572509765
attn_bound_mp8_topk6,2048,0.9,0.0,-4.670921401977539
attn_bound_mp8_topk6,4096,0.1,0.0,-4.829240341186524
attn_bound_mp8_topk6,4096,0.3,0.0,-3.3326370620727537
attn_bound_mp8_topk6,4096,0.5,0.0,-3.9944362258911132
attn_bound_mp8_topk6,4096,0.7,0.0,-4.511070327758789
attn_bound_mp8_topk6,4096,0.9,0.0,-5.039496765136719
attn_bound_screen_b16_topk24_coarse,2048,0.1,1.0,-0.21045270204544067
attn_bound_screen_b16_topk24_coarse,2048,0.5,0.0,-3.5060124206542964
attn_bound_screen_b16_topk24_coarse,2048,0.9,0.4,-0.6366453170776367
attn_bound_screen_b16_topk24_coarse,4096,0.1,1.0,-0.18257378280162812
attn_bound_screen_b16_topk24_coarse,4096,0.5,0.0,-3.3753236007690433
attn_bound_screen_b16_topk24_coarse,4096,0.9,0.0,-3.102951240539551
attn_bound_screen_b16_topk24_windowed_max,2048,0.1,1.0,-0.2679555368423462
attn_bound_screen_b16_topk24_windowed_max,2048,0.3,1.0,-0.39989362716674803
attn_bound_screen_b16_topk24_windowed_max,2048,0.5,0.0,-3.1627635192871093
attn_bound_screen_b16_topk24_windowed_max,2048,0.7,0.0,-3.360073471069336
attn_bound_screen_b16_topk24_windowed_max,2048,0.9,0.8,-0.6369465732574463
attn_bound_screen_b16_topk24_windowed_max,4096,0.1,0.4,-0.6521507167816163
attn_bound_screen_b16_topk24_windowed_max,4096,0.3,0.0,-2.824753131866455
attn_bound_screen_b16_topk24_windowed_max,4096,0.5,0.0,-3.429423599243164
attn_bound_screen_b16_topk24_windowed_max,4096,0.7,0.0,-3.888703384399414
attn_bound_screen_b16_topk24_windowed_max,4096,0.9,0.0,-3.830461120605469
attn_bound_screen_b16_topk24_windowed_max,8192,0.1,0.2,-2.188789565563202
attn_bound_screen_b16_topk24_windowed_max,8192,0.3,0.0,-3.7536563110351566
attn_bound_screen_b16_topk24_windowed_max,8192,0.5,0.0,-3.741776580810547
attn_bound_screen_b16_topk24_windowed_max,8192,0.7,0.0,-3.9612493896484375
attn_bound_screen_b16_topk24_windowed_max,8192,0.9,0.0,-3.610294647216797
attn_bound_screen_b32_topk12_windowed_max,2048,0.1,0.0,-2.4103980255126953
attn_bound_screen_b32_topk12_windowed_max,2048,0.5,0.0,-3.232505226135254
attn_bound_screen_b32_topk12_windowed_max,2048,0.9,0.0,-2.05588171005249
attn_bound_screen_b32_topk12_windowed_max,4096,0.1,0.0,-3.3058370208740238
attn_bound_screen_b32_topk12_windowed_max,4096,0.5,0.0,-3.8330704498291013
attn_bound_screen_b32_topk12_windowed_max,4096,0.9,0.0,-4.067592315673828
attn_bound_screen_b8_topk48_windowed_max,2048,0.1,0.0,-2.2781465530395506
attn_bound_screen_b8_topk48_windowed_max,2048,0.3,0.0,-1.5895677375793458
attn_bound_screen_b8_topk48_windowed_max,2048,0.5,0.0,-3.7270783233642577
attn_bound_screen_b8_topk48_windowed_max,2048,0.7,0.0,-3.216734733581543
attn_bound_screen_b8_topk48_windowed_max,2048,0.9,0.0,-2.2077441215515137
attn_bound_screen_b8_topk48_windowed_max,4096,0.1,0.0,-4.4222370147705075
attn_bound_screen_b8_topk48_windowed_max,4096,0.3,0.0,-2.414418716430664
attn_bound_screen_b8_topk48_windowed_max,4096,0.5,0.0,-4.968836975097656
attn_bound_screen_b8_topk48_windowed_max,4096,0.7,0.0,-5.025217361450196
attn_bound_screen_b8_topk48_windowed_max,4096,0.9,0.0,-5.1444393920898435
attn_bound_screen_b8_topk48_windowed_max,8192,0.1,0.0,-3.4186236190795896
attn_bound_screen_b8_topk48_windowed_max,8192,0.3,0.0,-4.244950714111328
attn_bound_screen_b8_topk48_windowed_max,8192,0.5,0.0,-4.788191146850586
attn_bound_screen_b8_topk48_windowed_max,8192,0.7,0.0,-4.787027206420898
attn_bound_screen_b8_topk48_windowed_max,8192,0.9,0.0,-3.9598218536376955
attn_bound_screen_topk4_residual,2048,0.1,0.0,-9.031756744384765
attn_bound_screen_topk4_residual,2048,0.5,0.0,-5.555395965576172
attn_bound_screen_topk4_residual,2048,0.9,0.0,-5.942803649902343
attn_bound_screen_topk4_residual,4096,0.1,0.0,-3.3211538314819338
attn_bound_screen_topk4_residual,4096,0.5,0.0,-3.7978974151611324
attn_bound_screen_topk4_residual,4096,0.9,0.0,-3.9896895599365236
attn_bound_screen_topk5_residual,2048,0.1,0.0,-2.7790596008300783
attn_bound_screen_topk5_residual,2048,0.5,0.0,-4.612738189697266
attn_bound_screen_topk5_residual,2048,0.9,0.0,-3.3030919647216797
attn_bound_screen_topk5_residual,4096,0.1,0.0,-4.103388061523438
attn_bound_screen_topk5_residual,4096,0.5,0.0,-8.031418533325196
attn_bound_screen_topk5_residual,4096,0.9,0.0,-5.446484146118165
attn_bound_screen_topk6_residual,2048,0.1,0.0,-3.1021402359008787
attn_bound_screen_topk6_residual,2048,0.5,0.0,-4.110310668945312
attn_bound_screen_topk6_residual,2048,0.9,0.0,-1.9624435424804687
attn_bound_screen_topk6_residual,4096,0.1,0.0,-3.906435546875
attn_bound_screen_topk6_residual,4096,0.5,0.0,-3.8282251739501953
attn_bound_screen_topk6_residual,4096,0.9,0.0,-3.9211231231689454
attn_bound_screen_topk6_windowed_max,2048,0.1,0.0,-4.1531407928466795
attn_bound_screen_topk6_windowed_max,2048,0.3,0.0,-2.9138077545166015
attn_bound_screen_topk6_windowed_max,2048,0.5,0.0,-4.23573974609375
attn_bound_screen_topk6_windowed_max,2048,0.7,0.0,-3.2690473556518556
attn_bound_screen_topk6_windowed_max,2048,0.9,0.0,-2.54913236618042
attn_bound_screen_topk6_windowed_max,4096,0.1,0.0,-3.1078027725219726
attn_bound_screen_topk6_windowed_max,4096,0.3,0.0,-4.236520729064941
attn_bound_screen_topk6_windowed_max,4096,0.5,0.2,-1.521086072921753
attn_bound_screen_topk6_windowed_max,4096,0.7,0.0,-3.6249990463256836
attn_bound_screen_topk6_windowed_max,4096,0.9,0.0,-3.8195929718017583
attn_bound_screen_topk6_windowed_max_delta5,2048,0.1,0.0,-2.083856658935547
attn_bound_screen_topk6_windowed_max_delta5,2048,0.5,0.0,-4.882834777832032
attn_bound_screen_topk6_windowed_max_delta5,2048,0.9,0.0,-3.515728988647461
attn_bound_screen_topk6_windowed_max_delta5,4096,0.1,0.0,-3.828858757019043
attn_bound_screen_topk6_windowed_max_delta5,4096,0.5,0.0,-4.88367431640625
attn_bound_screen_topk6_windowed_max_delta5,4096,0.9,0.0,-4.2140715789794925
attn_bound_screen_topk6_windowed_mean,2048,0.1,0.0,-2.1175938034057618
attn_bound_screen_topk6_windowed_mean,2048,0.5,0.0,-2.8325418090820316
attn_bound_screen_topk6_windowed_mean,2048,0.9,0.8,-0.2505234479904175
attn_bound_screen_topk6_windowed_mean,4096,0.1,0.0,-3.6652655410766597
attn_bound_screen_topk6_windowed_mean,4096,0.5,0.0,-4.5459403228759765
attn_bound_screen_topk6_windowed_mean,4096,0.9,0.0,-4.258093032836914
attn_bound_screen_topk8_residual,2048,0.1,0.0,-2.0172553062438965
attn_bound_screen_topk8_residual,2048,0.5,0.0,-3.199637565612793
attn_bound_screen_topk8_residual,2048,0.9,0.6,-0.5276550197601318
attn_bound_screen_topk8_residual,4096,0.1,0.0,-3.3006114959716797
attn_bound_screen_topk8_residual,4096,0.5,0.0,-3.315030212402344
attn_bound_screen_topk8_residual,4096,0.9,0.0,-3.6107419586181644
attn_fixed_topk5_residual_gather_shared,2048,0.1,0.0,-9.06057144165039
attn_fixed_topk5_residual_gather_shared,2048,0.5,0.0,-8.862944793701171
attn_fixed_topk5_residual_gather_shared,2048,0.9,0.0,-9.999328155517578
attn_fixed_topk5_residual_gather_shared,4096,0.1,0.0,-9.144518585205079
attn_fixed_topk5_residual_gather_shared,4096,0.5,0.0,-8.004064178466797
attn_fixed_topk5_residual_gather_shared,4096,0.9,0.0,-8.633721923828125
attn_fixed_topk6_residual_gather_shared,2048,0.1,0.0,-9.003905029296876
attn_fixed_topk6_residual_gather_shared,2048,0.5,0.0,-8.862564544677735
attn_fixed_topk6_residual_gather_shared,2048,0.9,0.0,-9.280757446289062
attn_fixed_topk6_residual_gather_shared,4096,0.1,0.0,-9.031865997314453
attn_fixed_topk6_residual_gather_shared,4096,0.5,0.0,-8.387017517089843
attn_fixed_topk6_residual_gather_shared,4096,0.9,0.0,-7.6764933776855475
